time,total_exposure_hours,max_continuous_hours,exposure_episodes,exposure_ratio
2023-11-10,0.0,0.0,0,0.0
2023-11-11,0.0,0.0,0,0.0
2023-11-12,0.0,0.0,0,0.0
2023-11-13,0.0,0.0,0,0.0
2023-11-14,0.0,0.0,0,0.0
2023-11-15,0.0,0.0,0,0.0
2023-11-16,0.0,0.0,0,0.0
2023-11-17,0.0,0.0,0,0.0
2023-11-18,0.0,0.0,0,0.0
2023-11-19,0.0,0.0,0,0.0
2023-11-20,0.0,0.0,0,0.0
2023-11-21,0.0,0.0,0,0.0
2023-11-22,0.0,0.0,0,0.0
2023-11-23,0.0,0.0,0,0.0
2023-11-24,0.0,0.0,0,0.0
2023-11-25,0.0,0.0,0,0.0
2023-11-26,0.0,0.0,0,0.0
2023-11-27,0.0,0.0,0,0.0
2023-11-28,0.0,0.0,0,0.0
2023-11-29,0.0,0.0,0,0.0
2023-11-30,0.0,0.0,0,0.0
2023-12-01,0.0,0.0,0,0.0
2023-12-02,0.0,0.0,0,0.0
2023-12-03,0.0,0.0,0,0.0
2023-12-04,0.0,0.0,0,0.0
2023-12-05,0.0,0.0,0,0.0
2023-12-06,0.0,0.0,0,0.0
2023-12-07,0.0,0.0,0,0.0
2023-12-08,0.0,0.0,0,0.0
2023-12-09,0.0,0.0,0,0.0
2023-12-10,0.0,0.0,0,0.0
2023-12-11,0.0,0.0,0,0.0
2023-12-12,0.0,0.0,0,0.0
2023-12-13,0.0,0.0,0,0.0
2023-12-14,0.0,0.0,0,0.0
2023-12-15,0.0,0.0,0,0.0
2023-12-16,0.0,0.0,0,0.0
2023-12-17,0.0,0.0,0,0.0
2023-12-18,0.0,0.0,0,0.0
2023-12-19,0.0,0.0,0,0.0
2023-12-20,0.0,0.0,0,0.0
2023-12-21,0.0,0.0,0,0.0
2023-12-22,0.0,0.0,0,0.0
2023-12-23,0.0,0.0,0,0.0
2023-12-24,0.0,0.0,0,0.0
2023-12-25,0.0,0.0,0,0.0
2023-12-26,0.0,0.0,0,0.0
2023-12-27,0.0,0.0,0,0.0
2023-12-28,0.0,0.0,0,0.0
2023-12-29,0.0,0.0,0,0.0
2023-12-30,0.0,0.0,0,0.0
2023-12-31,0.0,0.0,0,0.0
2024-01-01,0.0,0.0,0,0.0
2024-01-02,0.0,0.0,0,0.0
2024-01-03,0.0,0.0,0,0.0
2024-01-04,0.0,0.0,0,0.0
2024-01-05,0.0,0.0,0,0.0
2024-01-06,0.0,0.0,0,0.0
2024-01-07,0.0,0.0,0,0.0
2024-01-08,0.0,0.0,0,0.0
2024-01-09,0.0,0.0,0,0.0
2024-01-10,0.0,0.0,0,0.0
2024-01-11,0.0,0.0,0,0.0
2024-01-12,0.0,0.0,0,0.0
2024-01-13,0.0,0.0,0,0.0
2024-01-14,0.0,0.0,0,0.0
2024-01-15,0.0,0.0,0,0.0
2024-01-16,0.0,0.0,0,0.0
2024-01-17,0.0,0.0,0,0.0
2024-01-18,0.0,0.0,0,0.0
2024-01-19,0.0,0.0,0,0.0
2024-01-20,0.0,0.0,0,0.0
2024-01-21,0.0,0.0,0,0.0
2024-01-22,0.0,0.0,0,0.0
2024-01-23,0.0,0.0,0,0.0
2024-01-24,0.0,0.0,0,0.0
2024-01-25,0.0,0.0,0,0.0
2024-01-26,0.0,0.0,0,0.0
2024-01-27,0.0,0.0,0,0.0
2024-01-28,0.0,0.0,0,0.0
2024-01-29,0.0,0.0,0,0.0
2024-01-30,0.0,0.0,0,0.0
2024-01-31,0.0,0.0,0,0.0
2024-02-01,0.0,0.0,0,0.0
2024-02-02,0.0,0.0,0,0.0
2024-02-03,0.0,0.0,0,0.0
2024-02-04,0.0,0.0,0,0.0
2024-02-05,0.0,0.0,0,0.0
2024-02-06,0.0,0.0,0,0.0
2024-02-07,0.0,0.0,0,0.0
2024-02-08,0.0,0.0,0,0.0
2024-02-09,0.0,0.0,0,0.0
2024-02-10,0.0,0.0,0,0.0
2024-02-11,0.0,0.0,0,0.0
2024-02-12,0.0,0.0,0,0.0
2024-02-13,0.0,0.0,0,0.0
2024-02-14,0.0,0.0,0,0.0
2024-02-15,0.0,0.0,0,0.0
2024-02-16,0.0,0.0,0,0.0
2024-02-17,0.0,0.0,0,0.0
2024-02-18,0.0,0.0,0,0.0
2024-02-19,0.0,0.0,0,0.0
2024-02-20,0.0,0.0,0,0.0
2024-02-21,0.0,0.0,0,0.0
2024-02-22,0.0,0.0,0,0.0
2024-02-23,0.0,0.0,0,0.0
2024-02-24,0.0,0.0,0,0.0
2024-02-25,0.0,0.0,0,0.0
2024-02-26,0.0,0.0,0,0.0
2024-02-27,0.0,0.0,0,0.0
2024-02-28,0.0,0.0,0,0.0
2024-02-29,0.0,0.0,0,0.0
2024-03-01,0.0,0.0,0,0.0
2024-03-02,0.0,0.0,0,0.0
2024-03-03,0.0,0.0,0,0.0
2024-03-04,0.0,0.0,0,0.0
2024-03-05,0.0,0.0,0,0.0
2024-03-06,0.0,0.0,0,0.0
2024-03-07,0.0,0.0,0,0.0
2024-03-08,0.0,0.0,0,0.0
2024-03-09,0.0,0.0,0,0.0
2024-03-10,0.0,0.0,0,0.0
2024-03-11,0.0,0.0,0,0.0
2024-03-12,0.0,0.0,0,0.0
2024-03-13,0.0,0.0,0,0.0
2024-03-14,0.0,0.0,0,0.0
2024-03-15,0.0,0.0,0,0.0
2024-03-16,0.0,0.0,0,0.0
2024-03-17,0.0,0.0,0,0.0
2024-03-18,0.0,0.0,0,0.0
2024-03-19,0.0,0.0,0,0.0
2024-03-20,0.0,0.0,0,0.0
2024-03-21,0.0,0.0,0,0.0
2024-03-22,0.0,0.0,0,0.0
2024-03-23,0.0,0.0,0,0.0
2024-03-24,0.0,0.0,0,0.0
2024-03-25,0.0,0.0,0,0.0
2024-03-26,0.0,0.0,0,0.0
2024-03-27,0.0,0.0,0,0.0
2024-03-28,0.0,0.0,0,0.0
2024-03-29,0.0,0.0,0,0.0
2024-03-30,0.0,0.0,0,0.0
2024-03-31,0.0,0.0,0,0.0
2024-04-01,0.0,0.0,0,0.0
2024-04-02,0.0,0.0,0,0.0
2024-04-03,0.0,0.0,0,0.0
2024-04-04,0.0,0.0,0,0.0
2024-04-05,0.0,0.0,0,0.0
2024-04-06,0.0,0.0,0,0.0
2024-04-07,0.0,0.0,0,0.0
2024-04-08,0.0,0.0,0,0.0
2024-04-09,0.0,0.0,0,0.0
2024-04-10,0.0,0.0,0,0.0
2024-04-11,0.0,0.0,0,0.0
2024-04-12,0.0,0.0,0,0.0
2024-04-13,0.0,0.0,0,0.0
2024-04-14,0.0,0.0,0,0.0
2024-04-15,0.0,0.0,0,0.0
2024-04-16,0.0,0.0,0,0.0
2024-04-17,0.0,0.0,0,0.0
2024-04-18,0.0,0.0,0,0.0
2024-04-19,0.0,0.0,0,0.0
2024-04-20,0.0,0.0,0,0.0
2024-04-21,0.0,0.0,0,0.0
2024-04-22,0.0,0.0,0,0.0
2024-04-23,0.0,0.0,0,0.0
2024-04-24,0.0,0.0,0,0.0
2024-04-25,0.0,0.0,0,0.0
2024-04-26,0.0,0.0,0,0.0
2024-04-27,0.0,0.0,0,0.0
2024-04-28,0.0,0.0,0,0.0
2024-04-29,0.0,0.0,0,0.0
2024-04-30,0.0,0.0,0,0.0
2024-05-01,0.0,0.0,0,0.0
2024-05-02,0.0,0.0,0,0.0
2024-05-03,0.0,0.0,0,0.0
2024-05-04,0.0,0.0,0,0.0
2024-05-05,0.0,0.0,0,0.0
2024-05-06,0.0,0.0,0,0.0
2024-05-07,0.0,0.0,0,0.0
2024-05-08,0.0,0.0,0,0.0
2024-05-09,0.0,0.0,0,0.0
2024-05-10,0.0,0.0,0,0.0
2024-05-11,0.0,0.0,0,0.0
2024-05-12,0.0,0.0,0,0.0
2024-05-13,0.0,0.0,0,0.0
2024-05-14,0.0,0.0,0,0.0
2024-05-15,0.0,0.0,0,0.0
2024-05-16,0.0,0.0,0,0.0
2024-05-17,0.0,0.0,0,0.0
2024-05-18,0.0,0.0,0,0.0
2024-05-19,0.0,0.0,0,0.0
2024-05-20,0.0,0.0,0,0.0
2024-05-21,0.0,0.0,0,0.0
2024-05-22,0.0,0.0,0,0.0
2024-05-23,0.0,0.0,0,0.0
2024-05-24,0.0,0.0,0,0.0
2024-05-25,0.0,0.0,0,0.0
2024-05-26,0.0,0.0,0,0.0
2024-05-27,1.0,0.5,3,0.041666666666666664
2024-05-28,0.0,0.0,0,0.0
2024-05-29,0.0,0.0,0,0.0
2024-05-30,0.0,0.0,0,0.0
2024-05-31,0.0,0.0,0,0.0
2024-06-01,0.0,0.0,0,0.0
2024-06-02,0.0,0.0,0,0.0
2024-06-03,0.0,0.0,0,0.0
2024-06-04,0.0,0.0,0,0.0
2024-06-05,0.0,0.0,0,0.0
2024-06-06,0.0,0.0,0,0.0
2024-06-07,0.0,0.0,0,0.0
2024-06-08,0.0,0.0,0,0.0
2024-06-09,0.0,0.0,0,0.0
2024-06-10,0.0,0.0,0,0.0
2024-06-11,0.0,0.0,0,0.0
2024-06-12,0.0,0.0,0,0.0
2024-06-13,0.0,0.0,0,0.0
2024-06-14,0.0,0.0,0,0.0
2024-06-15,1.6666666666666665,0.6666666666666666,4,0.06944444444444445
2024-06-16,4.666666666666666,3.333333333333333,4,0.19444444444444445
2024-06-17,5.333333333333333,5.166666666666666,2,0.2222222222222222
2024-06-18,6.0,6.0,1,0.25
2024-06-19,6.0,5.833333333333333,2,0.25
2024-06-20,5.5,4.5,3,0.22916666666666666
2024-06-21,0.0,0.0,0,0.0
2024-06-22,0.0,0.0,0,0.0
2024-06-23,0.0,0.0,0,0.0
2024-06-24,0.0,0.0,0,0.0
2024-06-25,0.0,0.0,0,0.0
2024-06-26,0.0,0.0,0,0.0
2024-06-27,0.0,0.0,0,0.0
2024-06-28,0.0,0.0,0,0.0
2024-06-29,0.0,0.0,0,0.0
2024-06-30,0.16666666666666666,0.16666666666666666,1,0.006944444444444444
2024-07-01,0.0,0.0,0,0.0
2024-07-02,0.0,0.0,0,0.0
2024-07-03,7.166666666666666,7.0,2,0.2986111111111111
2024-07-04,4.333333333333333,3.833333333333333,3,0.18055555555555555
2024-07-05,0.0,0.0,0,0.0
2024-07-06,0.0,0.0,0,0.0
2024-07-07,11.333333333333332,11.333333333333332,1,0.4722222222222222
2024-07-08,8.833333333333332,6.666666666666666,2,0.3680555555555556
2024-07-09,0.0,0.0,0,0.0
2024-07-10,3.6666666666666665,3.1666666666666665,2,0.1527777777777778
2024-07-11,4.166666666666666,3.833333333333333,2,0.1736111111111111
2024-07-12,0.0,0.0,0,0.0
2024-07-13,0.6666666666666666,0.3333333333333333,3,0.027777777777777776
2024-07-14,5.5,5.5,1,0.22916666666666666
2024-07-15,14.333333333333332,10.166666666666666,2,0.5972222222222222
2024-07-16,19.833333333333332,17.333333333333332,3,0.8263888888888888
2024-07-17,14.5,7.0,4,0.6041666666666666
2024-07-18,6.333333333333333,6.0,2,0.2638888888888889
2024-07-19,15.0,15.0,1,0.625
2024-07-20,24.0,24.0,1,1.0
2024-07-21,15.333333333333332,15.333333333333332,1,0.6388888888888888
2024-07-22,0.0,0.0,0,0.0
2024-07-23,13.666666666666666,13.666666666666666,1,0.5694444444444444
2024-07-24,14.166666666666666,7.666666666666666,2,0.5902777777777778
2024-07-25,0.3333333333333333,0.3333333333333333,1,0.013888888888888888
2024-07-26,0.0,0.0,0,0.0
2024-07-27,0.0,0.0,0,0.0
2024-07-28,0.0,0.0,0,0.0
2024-07-29,0.0,0.0,0,0.0
2024-07-30,0.0,0.0,0,0.0
2024-07-31,0.0,0.0,0,0.0
2024-08-01,5.5,4.0,2,0.22916666666666666
2024-08-02,7.0,7.0,1,0.2916666666666667
2024-08-03,0.0,0.0,0,0.0
2024-08-04,0.0,0.0,0,0.0
2024-08-05,0.0,0.0,0,0.0
2024-08-06,0.0,0.0,0,0.0
2024-08-07,0.0,0.0,0,0.0
2024-08-08,14.666666666666666,14.666666666666666,1,0.6111111111111112
2024-08-09,24.0,24.0,1,1.0
2024-08-10,21.666666666666664,17.0,3,0.9027777777777778
2024-08-11,14.666666666666666,12.166666666666666,3,0.6111111111111112
2024-08-12,7.833333333333333,7.833333333333333,1,0.3263888888888889
2024-08-13,15.5,15.5,1,0.6458333333333334
2024-08-14,24.0,24.0,1,1.0
2024-08-15,14.166666666666666,7.666666666666666,3,0.5902777777777778
2024-08-16,2.333333333333333,2.333333333333333,1,0.09722222222222222
2024-08-17,0.0,0.0,0,0.0
2024-08-18,0.0,0.0,0,0.0
2024-08-19,0.0,0.0,0,0.0
2024-08-20,0.0,0.0,0,0.0
2024-08-21,1.0,0.8333333333333333,2,0.041666666666666664
2024-08-22,6.166666666666666,4.833333333333333,2,0.2569444444444444
2024-08-23,2.833333333333333,2.833333333333333,1,0.11805555555555555
2024-08-24,3.833333333333333,3.333333333333333,2,0.1597222222222222
2024-08-25,22.0,14.5,2,0.9166666666666666
2024-08-26,24.0,24.0,1,1.0
2024-08-27,24.0,24.0,1,1.0
2024-08-28,24.0,24.0,1,1.0
2024-08-29,24.0,24.0,1,1.0
2024-08-30,24.0,24.0,1,1.0
2024-08-31,24.0,24.0,1,1.0
2024-09-01,24.0,24.0,1,1.0
2024-09-02,24.0,24.0,1,1.0
2024-09-03,24.0,24.0,1,1.0
2024-09-04,24.0,24.0,1,1.0
2024-09-05,24.0,24.0,1,1.0
2024-09-06,7.833333333333333,4.666666666666666,2,0.3263888888888889
2024-09-07,0.6666666666666666,0.6666666666666666,1,0.027777777777777776
2024-09-08,0.0,0.0,0,0.0
2024-09-09,0.0,0.0,0,0.0
2024-09-10,0.0,0.0,0,0.0
2024-09-11,3.1666666666666665,3.1666666666666665,1,0.13194444444444445
2024-09-12,0.0,0.0,0,0.0
2024-09-13,0.0,0.0,0,0.0
2024-09-14,14.166666666666666,14.166666666666666,1,0.5902777777777778
2024-09-15,2.333333333333333,2.1666666666666665,2,0.09722222222222222
2024-09-16,3.0,2.1666666666666665,2,0.125
2024-09-17,9.5,4.333333333333333,3,0.3958333333333333
2024-09-18,24.0,24.0,1,1.0
2024-09-19,24.0,24.0,1,1.0
2024-09-20,21.166666666666664,14.5,2,0.8819444444444444
2024-09-21,21.166666666666664,15.333333333333332,2,0.8819444444444444
2024-09-22,2.1666666666666665,2.0,2,0.09027777777777778
2024-09-23,0.0,0.0,0,0.0
2024-09-24,0.0,0.0,0,0.0
2024-09-25,0.0,0.0,0,0.0
2024-09-26,0.0,0.0,0,0.0
2024-09-27,0.0,0.0,0,0.0
2024-09-28,0.0,0.0,0,0.0
2024-09-29,0.0,0.0,0,0.0
2024-09-30,0.0,0.0,0,0.0
2024-10-01,0.0,0.0,0,0.0
2024-10-02,0.0,0.0,0,0.0
2024-10-03,0.0,0.0,0,0.0
2024-10-04,0.0,0.0,0,0.0
2024-10-05,0.0,0.0,0,0.0
2024-10-06,0.0,0.0,0,0.0
2024-10-07,0.0,0.0,0,0.0
2024-10-08,0.0,0.0,0,0.0
2024-10-09,0.0,0.0,0,0.0
2024-10-10,0.0,0.0,0,0.0
2024-10-11,0.0,0.0,0,0.0
2024-10-12,0.0,0.0,0,0.0
2024-10-13,0.0,0.0,0,0.0
2024-10-14,0.0,0.0,0,0.0
2024-10-15,0.0,0.0,0,0.0
2024-10-16,0.0,0.0,0,0.0
2024-10-17,0.0,0.0,0,0.0
2024-10-18,0.0,0.0,0,0.0
2024-10-19,0.0,0.0,0,0.0
2024-10-20,0.0,0.0,0,0.0
2024-10-21,0.0,0.0,0,0.0
2024-10-22,0.0,0.0,0,0.0
2024-10-23,0.0,0.0,0,0.0
2024-10-24,0.0,0.0,0,0.0
2024-10-25,0.0,0.0,0,0.0
2024-10-26,0.0,0.0,0,0.0
2024-10-27,0.0,0.0,0,0.0
2024-10-28,0.0,0.0,0,0.0
2024-10-29,0.0,0.0,0,0.0
2024-10-30,0.0,0.0,0,0.0
2024-10-31,0.0,0.0,0,0.0
2024-11-01,0.0,0.0,0,0.0
2024-11-02,0.0,0.0,0,0.0
2024-11-03,0.0,0.0,0,0.0
2024-11-04,0.0,0.0,0,0.0
2024-11-05,0.0,0.0,0,0.0
2024-11-06,0.0,0.0,0,0.0
2024-11-07,0.0,0.0,0,0.0
2024-11-08,0.0,0.0,0,0.0
2024-11-09,0.0,0.0,0,0.0
2024-11-10,0.0,0.0,0,0.0
2024-11-11,0.0,0.0,0,0.0
2024-11-12,0.0,0.0,0,0.0
2024-11-13,0.0,0.0,0,0.0
2024-11-14,0.0,0.0,0,0.0
2024-11-15,0.0,0.0,0,0.0
2024-11-16,0.0,0.0,0,0.0
2024-11-17,0.0,0.0,0,0.0
2024-11-18,0.0,0.0,0,0.0
2024-11-19,0.0,0.0,0,0.0
